-1	48	49
-2	54	55
-3	292	51781
-4	675	646
-5	697	647
-6	801	802
-7	822	823
-8	833	834
-9	950	16384
-10	952	953
-11	947	972
-12	1043	1181890
-13	1046	1047
-14	1177	1178
-15	85926	914
-16	1322	1331
-17	1339	1340
-18	1344	1345
-19	3299	653187
-20	1223	1358
-21	1373	1374
-22	1386	1387
-23	1502	1503
-24	1516	1517
-25	1402	1529
-26	1535	1536
-27	1587	1588
-28	1592	1593
-29	1595	1596
-30	1598	1599
-31	486083	1602
-32	1604	1605
-33	1607	1608
-34	1219	1620
-35	1654	1655
-36	1466	1690
-37	1722	1723
-38	1756	1757
-39	1223	1769
-40	1797	1798
-41	1223	1807
-42	1223	1812
-43	1818	1819
-44	1867	1868
-45	1879	1837
-46	1223	1883
-47	1223	1875
-48	1910	1911
-49	1916	1917
-50	1223	1931
-51	1934	1935
-52	2007	914
-53	2036	2037
-54	303073	2072
-55	2061	2072
-56	1223	2088
-57	1223	2104
-58	1298	2127
-60	1223	2183
-61	2168	2072
-62	1185	2192
-63	1959	2203
-64	1223	2210
-65	1223	2214
-66	1223	2223
-67	2169	1442
-68	1223	2239
-70	1298	2264
-71	1959	2255
-72	2272	2273
-73	2277	1837
-74	1219	2286
-75	2277	1494
-76	1223	2295
-77	1402	2321
-78	1223	2330
-79	2325	2072
-80	1298	2343
-81	2387	2388
-82	2393	1490
-83	2406	2402
-84	2414	2415
-85	1223	2475
-86	2485	2486
-87	2513	2514
-88	1402	2530
-89	1298	2533
-90	1466	2548
-91	2272	2562
-92	1223	2576
-93	2604	2605
-95	2764	2765
-96	2784	2765
-97	2811	1544367
-98	2953	663375
-99	1223	3171
-100	10516	2072
-101	1223	3245
-102	10516	466760
-103	1223	3265
-104	1402	3276
-105	10530	1798
-106	3378	3379
-107	1223	3388
-108	10572	3415
-109	10588	1447
-110	3445	3379
-111	1910	3456
-112	3487	3488
-113	1348	174815	3532
-114	3536	3537
-115	3542	3543
-116	3545	3549
-117	3552	3553
-118	3552	3555
-119	3569	3570
-120	3584	3585
-121	3647	2030
-122	1185	3682
-123	3691	3692
-124	1466	3726
-125	3733	3734
-126	1587	3747
-127	3795	3796
-128	1200	3805
-129	3814	3815
-130	1185	3840
-131	3851	3852
-132	3865	3866
-133	4599	4600
-134	4674	4675
-135	4736	129710
-136	50575	1447
-137	1185	5167
-138	1185	5170
-139	1185	5173
-140	5185	5186
-141	30961	4757
-142	16508	1042
-143	3866	1447
-144	836665	54542
-145	5918	5919
-146	5949	5950
-147	6011	6012
-148	37179	149838
-149	6551	6552
-150	6592	6593
-151	1348	6596
-152	6719	6720
-153	1587	939
-154	952	939
-155	7030	7031
-156	7063	36958
-157	7102	7103
-158	7134	7135
-159	7137	7138
-160	7140	7141
-161	7330	7331
-162	7334	7335
-163	7397	7398
-164	7460	7461
